id,type,text1,text2,text3,notes
alkemia_pilumpod,WEAPON,"A two-stage missile suited for long-range support by backline combat ships. The second stage has a higher top speed, giving it a better chance of defeating point-defense systems.

A technologically mature weapon system, the Pilum-class missile is the obvious choice for long-range strikes by cautious captains. The warhead consists of a device capable of causing spot failures in active shields, and an EMP generator to deliver a modest punch through these gaps. Neither device is particularly effective due to the constraints imposed by the missile's outsized fuel tanks.

A sizable combat-rated autoloader and missile autoforge system ensures continued usefulness in protracted engagements.",,,
alkemia_vulcan,WEAPON,"A rapid fire weapon that is especially devastating to missiles and fighters at point-blank range. 

This variant uses only a single set of long barrels to limit accuracy loss. A cooldown period prevents detrimental overheating during long bursts.

An advanced timing mechanism beats in the heart of this multi-barrel weapon platform, generally manufactured only by licensed Hegemony Autofactories. Rounds typically use depleted uranium tips and are non explosive. Multiple barrels enable an extremely high rate of fire, which comes at a cost in flux.",,,,
alkemia_locust,WEAPON,"Saturation defense launcher with large numbers of guided low-yeld EMP warheads.

A sizable combat-rated autoloader and missile autoforge system ensures continued usefulness in protracted engagements.",,,
alkemia_locust_fighter,WEAPON,"Saturation defense launcher with large numbers of guided low-yeld EMP warheads. This rack must be reloaded after use.",,,
alkemia_breach_fighter,WEAPON,"A heavily armored and fast missile with good guidance and a small, specialized anti-armor warhead. This rack must be reloaded after use.",,,
alkemia_harpoon_fighter,WEAPON,"A short range high payload guided missile: one-shot only. Devastating against ships with downed shields.",,,
alkemia_salamander_fighter,WEAPON,"Homes in on the target's engines and disables them with a powerful EMP burst. One-shot only.",,,
alkemia_amblaster_fighter,WEAPON,"A slow-firing, high damage energy gun meant to pose a threat to the largest ships in the Sector. Can only be used at close-range.",,,
alkemia_acdls,WEAPON,"The main weapon of the Syreen is the Active Close Defense Laser System (ACDLS), a four-lens laser weapon. As well as being an effective ranged armament, it automatically targets enemies close by, providing effective melee defense.",,,
alkemia_rapidhvel,WEAPON,"Every engineer feels the need to make things better - with this Rapid Hypervelocity Driver it was the desire to improve on the firing speed. Unfortunately the improved rate of fire comes at the cost of smaller projectiles and high flux.",,,
alkemia_porcupine_tds,WEAPON,"The premise of the Porcupine Torpedo Delivery System is simple - make torpedoes reach further. Four Atrops warheads were strapped to this frigate sized engine making this a versatile weapon both against larger ships and small craft.",,,
